name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaPositive_samp[2],-0.45,0.092,0.19,-0.78,-0.45,-0.17,4.4,1.1e-05,1.4
etaPositive_samp[3],0.18,0.59,0.86,-0.68,-0.18,1.8,2.1,5.6e-06,4.3
etaPositive_samp[4],-0.31,0.11,0.25,-0.75,-0.3,0.0071,5.2,1.4e-05,1.3
etaPositive_samp[5],1.2,0.069,0.17,0.9,1.2,1.4,5.8,1.5e-05,1.2
etaPositive_samp[6],-0.2,0.4,0.61,-0.94,-0.4,0.89,2.3,5.9e-06,2.8
etaPositive_samp[7],-0.75,0.66,0.94,-1.6,-1.2,0.93,2.1,5.4e-06,6.2
etaPositive_samp[8],0.93,0.0083,0.17,0.65,0.93,1.2,407.0,0.0011,1.0
etaPositive_samp[9],0.26,0.31,0.65,-0.97,0.35,1.0,4.4,1.1e-05,1.4
etaPositive_samp[10],1.5,0.014,0.19,1.2,1.5,1.8,199.0,0.00052,1.0
etaPositive_samp[11],0.44,0.76,1.1,-1.5,0.97,1.4,2.1,5.3e-06,6.6
etaPositive_samp[12],-0.48,0.3,0.48,-1.5,-0.33,0.09,2.5,6.5e-06,2.5
etaPositive_samp[13],0.51,0.77,1.1,-1.4,1.0,1.5,2.1,5.4e-06,5.1
etaPositive_samp[14],-0.78,0.42,0.61,-1.8,-0.52,-0.16,2.1,5.6e-06,4.0
etaPositive_samp[15],-1.1,1.0,1.5,-2.4,-1.9,1.4,2.1,5.4e-06,6.3
etaPositive_samp[16],0.45,0.34,0.52,-0.098,0.25,1.5,2.3,6e-06,3.1
etaPositive_samp[17],-0.7,0.37,0.59,-1.5,-0.86,0.39,2.5,6.5e-06,2.3
etaPositive_samp[18],-0.099,0.82,1.2,-2.2,0.49,0.84,2.0,5.3e-06,7.4
etaPositive_samp[19],1.1,0.05,0.2,0.75,1.2,1.4,16.0,4.1e-05,1.1
etaPositive_samp[20],0.62,0.51,0.73,-0.66,0.95,1.3,2.1,5.4e-06,5.0
etaPositive_samp[21],-0.18,0.6,0.86,-1.7,0.23,0.58,2.1,5.4e-06,5.8
etaPositive_samp[22],1.1,0.18,0.3,0.67,1.0,1.6,2.8,7.2e-06,1.9
etaPositive_samp[23],-0.39,0.19,0.33,-0.96,-0.34,0.11,3.2,8.2e-06,1.7
etaPositive_samp[24],-0.92,1.1,1.6,-2.1,-1.7,1.8,2.0,5.3e-06,9.3
etaPositive_samp[25],0.62,0.31,0.46,0.12,0.44,1.4,2.2,5.7e-06,3.4
etaPositive_samp[26],0.85,0.32,0.48,0.01,1.0,1.4,2.2,5.8e-06,3.2
etaPositive_samp[27],-0.74,0.28,0.48,-1.5,-0.8,0.086,2.9,7.6e-06,1.8
etaPositive_samp[28],-0.64,0.23,0.5,-1.5,-0.6,0.0077,4.6,1.2e-05,1.3
