name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaPositive_samp[88],-0.32,0.012,0.27,-0.75,-0.33,0.13,529.0,0.0015,1.0
etaPositive_samp[89],0.011,0.023,0.16,-0.25,0.0085,0.28,50.0,0.00014,1.0
etaPositive_samp[90],-0.96,0.28,0.59,-1.6,-1.1,0.42,4.4,1.2e-05,1.4
etaPositive_samp[91],0.33,1.2,1.7,-2.9,1.2,1.7,2.1,5.9e-06,5.5
etaPositive_samp[92],0.16,0.018,0.15,-0.08,0.16,0.4,67.0,0.00019,1.0
etaPositive_samp[93],-0.31,0.025,0.14,-0.55,-0.31,-0.087,33.0,9.3e-05,1.0
etaPositive_samp[94],0.15,0.0094,0.3,-0.27,0.13,0.65,1009.0,0.0029,1.0
etaPositive_samp[95],-0.97,0.013,0.73,-2.3,-0.93,0.13,2948.0,0.0083,1.0
etaPositive_samp[96],-1.0,0.01,0.51,-1.9,-0.96,-0.3,2408.0,0.0068,1.0
etaPositive_samp[97],0.58,0.0091,0.31,0.042,0.6,1.1,1195.0,0.0034,1.0
etaPositive_samp[98],0.33,0.023,0.13,0.11,0.33,0.54,34.0,9.7e-05,1.1
etaPositive_samp[99],1.7,0.014,0.64,0.5,1.8,2.6,2057.0,0.0058,1.0
etaPositive_samp[100],-0.46,0.025,0.17,-0.74,-0.46,-0.2,46.0,0.00013,1.0
etaPositive_samp[101],-0.4,0.0098,0.31,-0.79,-0.46,0.23,968.0,0.0027,1.0
etaPositive_samp[102],-1.8,0.011,0.52,-2.8,-1.8,-1.1,2488.0,0.007,1.0
etaPositive_samp[103],0.19,0.033,0.33,-0.36,0.19,0.73,103.0,0.00029,1.0
etaPositive_samp[104],1.1,0.0092,0.43,0.4,1.2,1.8,2164.0,0.0061,1.0
etaPositive_samp[105],-0.96,0.013,0.65,-2.1,-0.89,-0.038,2512.0,0.0071,1.0
etaPositive_samp[106],0.2,0.011,0.48,-0.54,0.18,0.97,1765.0,0.005,1.0
etaNegative_samp[1],-1.1,0.007,0.16,-1.3,-1.1,-0.82,535.0,0.0015,1.0
etaNegative_samp[2],-0.94,0.0063,0.16,-1.2,-0.94,-0.69,626.0,0.0018,1.0
etaNegative_samp[3],-0.67,0.28,0.42,-1.1,-0.83,0.11,2.2,6.3e-06,3.0
etaNegative_samp[4],-0.64,0.0069,0.14,-0.88,-0.64,-0.42,411.0,0.0012,1.0
etaNegative_samp[5],-0.51,0.0073,0.17,-0.79,-0.52,-0.23,557.0,0.0016,1.0
etaNegative_samp[6],0.19,0.047,0.18,-0.093,0.19,0.49,14.0,4.1e-05,1.1
etaNegative_samp[7],-0.48,0.019,0.17,-0.76,-0.48,-0.21,78.0,0.00022,1.0
etaNegative_samp[8],-0.59,0.007,0.16,-0.85,-0.59,-0.33,509.0,0.0014,1.0
etaNegative_samp[9],-0.67,0.0077,0.15,-0.92,-0.67,-0.44,362.0,0.001,1.0
etaNegative_samp[10],0.53,0.052,0.23,0.17,0.52,0.92,20.0,5.5e-05,1.1
etaNegative_samp[11],0.55,0.76,1.3,-0.43,-0.053,3.4,3.0,8.4e-06,1.9
etaNegative_samp[12],2.0,0.084,0.52,1.2,2.0,2.9,38.0,0.00011,1.0
etaNegative_samp[13],1.3,0.02,0.78,0.088,1.3,2.7,1500.0,0.0042,1.0
etaNegative_samp[14],-0.26,0.0075,0.19,-0.56,-0.27,0.062,644.0,0.0018,1.0
