,Subject,Beta,etaPos,etaNeg,p1,p2,p3,p4,Actual Subject,Task
104,43.0,2.413,0.046,0.145,-0.512,-0.025,-0.0,-0.003,104.0,3.0
105,88.0,1.997,0.041,0.118,-0.19,-0.086,-0.01,0.066,214.0,3.0
106,89.0,2.087,0.024,0.055,-0.637,-0.04,0.031,-0.005,215.0,3.0
107,90.0,2.583,0.018,0.014,-1.016,0.041,-0.035,0.031,216.0,3.0
108,23.0,1.949,0.023,0.327,0.314,-0.095,0.014,0.022,160.0,3.0
109,19.0,1.665,0.022,0.146,-0.215,0.02,-0.016,0.018,124.0,4.0
110,29.0,2.961,0.013,0.069,-0.414,-0.067,0.056,0.006,146.0,4.0
111,24.0,2.132,0.038,0.554,0.104,-0.073,-0.025,0.002,141.0,4.0
112,21.0,2.03,0.027,0.075,-0.192,-0.035,0.059,0.011,158.0,4.0
113,114.0,2.739,0.018,0.022,-0.149,-0.032,-0.029,0.058,324.0,4.0
114,110.0,2.137,0.016,0.012,-1.084,-0.003,0.007,0.074,320.0,4.0
115,112.0,3.423,0.011,0.022,-0.485,-0.053,-0.022,0.072,322.0,4.0
116,58.0,1.97,0.016,0.015,-0.352,-0.017,0.004,0.041,131.0,4.0
117,62.0,2.543,0.022,0.054,-0.74,-0.057,0.031,0.056,164.0,4.0
118,63.0,2.172,0.017,0.038,-0.495,-0.039,0.04,0.041,161.0,4.0
119,3.0,3.116,0.029,0.036,-0.885,0.029,-0.013,0.026,112.0,4.0
120,49.0,2.203,0.023,0.024,-0.702,-0.04,-0.01,0.051,134.0,4.0
121,46.0,2.942,0.023,0.028,-0.429,-0.046,0.003,0.033,107.0,4.0
122,91.0,2.431,0.021,0.045,-0.355,-0.077,0.041,0.004,301.0,4.0
123,92.0,3.956,0.013,0.013,-0.671,0.028,0.013,-0.071,302.0,4.0
124,93.0,2.828,0.011,0.007,-1.005,-0.048,0.039,0.023,303.0,4.0
125,94.0,3.312,0.013,0.009,-1.134,-0.006,-0.017,0.026,304.0,4.0
126,113.0,2.228,0.018,0.021,-0.215,-0.018,-0.024,0.002,323.0,4.0
127,95.0,3.319,0.035,0.036,-0.336,-0.065,0.041,0.027,305.0,4.0
128,97.0,2.25,0.014,0.203,0.078,-0.057,0.063,0.027,307.0,4.0
129,98.0,3.313,0.015,0.006,-0.638,-0.028,0.031,0.012,308.0,4.0
130,14.0,1.977,0.016,0.061,-0.259,-0.023,0.007,0.054,119.0,4.0
131,36.0,2.204,0.034,0.242,-0.463,-0.035,0.005,0.005,153.0,4.0
132,107.0,2.731,0.007,0.088,-0.576,0.039,0.018,-0.013,317.0,4.0
133,108.0,2.675,0.018,0.211,-0.89,0.017,0.007,0.056,318.0,4.0
134,109.0,2.583,0.008,0.095,0.139,-0.078,0.038,0.052,319.0,4.0
135,111.0,4.193,0.009,0.011,-0.621,0.011,0.005,0.054,321.0,4.0
136,96.0,2.179,0.02,0.01,-0.289,-0.021,-0.024,0.001,306.0,4.0
137,9.0,2.295,0.021,0.027,-0.942,-0.034,0.04,0.018,126.0,5.0
138,8.0,1.666,0.026,0.106,-0.611,-0.037,-0.0,0.048,125.0,5.0
139,4.0,2.237,0.022,0.036,-0.429,-0.073,0.029,0.019,113.0,5.0
140,5.0,2.448,0.041,0.239,-0.634,-0.096,-0.006,0.032,114.0,5.0
141,1.0,1.537,0.02,0.443,-0.27,-0.053,0.036,0.029,110.0,5.0
142,12.0,2.384,0.022,0.065,-0.47,0.023,0.027,0.055,117.0,5.0
143,56.0,2.484,0.018,0.055,-0.432,0.055,0.037,0.023,129.0,5.0
144,16.0,2.098,0.036,0.119,-0.125,-0.03,0.008,0.048,121.0,5.0
145,57.0,2.515,0.029,0.076,-0.202,-0.086,0.029,0.014,130.0,5.0
146,54.0,3.195,0.007,0.037,-0.653,-0.088,0.012,0.071,139.0,5.0
147,51.0,3.152,0.046,0.33,-0.139,-0.063,-0.006,0.059,136.0,5.0
148,50.0,2.449,0.032,0.259,-0.223,-0.018,0.011,0.067,135.0,5.0
149,45.0,3.653,0.013,0.011,-0.987,-0.022,-0.002,0.044,106.0,5.0
150,44.0,2.104,0.03,0.049,-0.408,-0.081,0.018,0.039,105.0,5.0
151,41.0,3.325,0.019,0.027,-0.943,-0.05,-0.01,0.03,102.0,5.0
152,40.0,2.547,0.041,0.281,-0.391,-0.098,-0.007,0.021,101.0,5.0
153,13.0,3.061,0.014,0.036,-0.646,-0.002,0.015,0.037,118.0,5.0
